Complaint,Category
Prodi tidak mendukung kegiatan wirausaha mahasiswa.,Prodi
Tidak ada transparansi dalam proses administrasi.,Tata Usaha/Pelayanan Administrasi
Tampilan SIMAK tidak user-friendly.,SIMAK
Tidak ada fitur reset password di SIMAK.,SIMAK
Prodi tidak mengadakan kegiatan ekstrakurikuler.,Prodi
Bimbingan tugas akhir kurang efektif.,Prodi
Tidak ada program magang yang difasilitasi prodi.,Prodi
Tidak ada sistem antrean yang jelas di bagian administrasi.,Tata Usaha/Pelayanan Administrasi
Metode pengajaran kurang menarik.,Kualitas Pengajaran
Tidak ada evaluasi berkala terhadap dosen.,Kualitas Pengajaran
Ujian tidak sesuai dengan materi yang diajarkan.,Kualitas Pengajaran
Update data di SIMAK memakan waktu lama.,SIMAK
Layanan administrasi tidak memberikan solusi yang jelas.,Tata Usaha/Pelayanan Administrasi
Gedung kampus kurang perawatan.,Fasilitas Kampus
Ruang kelas kurang pencahayaan.,Fasilitas Kampus
Dosen tidak pernah memberikan umpan balik.,Kualitas Pengajaran
Layanan administrasi tidak efisien.,Tata Usaha/Pelayanan Administrasi
Prodi tidak menyediakan sarana dan prasarana yang memadai.,Prodi
Proses pengurusan administrasi ribet.,Tata Usaha/Pelayanan Administrasi
Layanan administrasi sering tutup sebelum jam operasional berakhir.,Tata Usaha/Pelayanan Administrasi
Data mahasiswa sering hilang di SIMAK.,SIMAK
Pelayanan di bagian akademik sangat lambat.,Tata Usaha/Pelayanan Administrasi
Tidak ada ruang tunggu yang nyaman.,Fasilitas Kampus
Kesalahan data di SIMAK sering terjadi.,SIMAK
Prodi tidak memberikan informasi yang jelas.,Prodi
Tidak ada program pertukaran pelajar.,Prodi
Tidak ada kegiatan pembekalan karir dari prodi.,Prodi
Tidak ada pemberitahuan mengenai perubahan kebijakan administrasi.,Tata Usaha/Pelayanan Administrasi
Materi kuliah tidak update.,Kualitas Pengajaran
Kesulitan mengakses nilai di SIMAK.,SIMAK
Tugas yang diberikan terlalu banyak.,Kualitas Pengajaran
Layanan administrasi sering mengabaikan keluhan mahasiswa.,Tata Usaha/Pelayanan Administrasi
SIMAK tidak bisa diakses di luar kampus.,SIMAK
Tidak ada interaksi antara dosen dan mahasiswa.,Kualitas Pengajaran
Tidak ada panduan yang jelas untuk proses administrasi.,Tata Usaha/Pelayanan Administrasi
Tidak ada pendampingan akademik yang memadai.,Prodi
Lift di gedung kampus sering rusak.,Fasilitas Kampus
Wifi kampus sering tidak berfungsi.,Fasilitas Kampus
Tidak ada fasilitas pembayaran online untuk administrasi.,Tata Usaha/Pelayanan Administrasi
Data di SIMAK sering tidak update.,SIMAK
Dosen tidak menguasai materi dengan baik.,Kualitas Pengajaran
Tidak ada kesempatan untuk mengikuti konferensi atau seminar.,Prodi
Kegiatan praktikum tidak terstruktur.,Kualitas Pengajaran
Prodi tidak memiliki jaringan industri yang luas.,Prodi
Jadwal kuliah sering berubah tanpa pemberitahuan.,Prodi
Tidak ada panduan penggunaan SIMAK.,SIMAK
Tidak ada fasilitas air minum di kampus.,Fasilitas Kampus
Petugas administrasi tidak memiliki sikap yang baik.,Tata Usaha/Pelayanan Administrasi
Tidak ada ruang baca yang nyaman.,Fasilitas Kampus
Materi yang diajarkan tidak sesuai dengan kurikulum.,Kualitas Pengajaran
Dosen tidak hadir sesuai jadwal.,Kualitas Pengajaran
Tidak ada tempat parkir yang memadai.,Fasilitas Kampus
Kualitas pengajaran di prodi sangat baik.,Kualitas Pengajaran
Layanan administrasi tidak memadai.,Tata Usaha/Pelayanan Administrasi
Tidak ada kegiatan pengembangan diri yang diselenggarakan prodi.,Prodi
Toilet kampus sering kotor.,Fasilitas Kampus
Fasilitas kesehatan di kampus kurang memadai.,Fasilitas Kampus
Notifikasi di SIMAK tidak muncul.,SIMAK
SIMAK tidak bisa diakses saat maintenance.,SIMAK
Kursi di ruang kelas banyak yang rusak.,Fasilitas Kampus
Layanan administrasi tidak ramah terhadap mahasiswa baru.,Tata Usaha/Pelayanan Administrasi
Petugas tata usaha kurang ramah.,Tata Usaha/Pelayanan Administrasi
Layanan administrasi tidak profesional.,Tata Usaha/Pelayanan Administrasi
Dosen kurang responsif terhadap pertanyaan mahasiswa.,Kualitas Pengajaran
Tidak ada kegiatan penelitian yang didukung prodi.,Prodi
Kuliah sering dibatalkan tanpa pemberitahuan.,Kualitas Pengajaran
Tidak ada fasilitas untuk mahasiswa difabel.,Fasilitas Kampus
Tidak ada jadwal konsultasi dengan dosen.,Kualitas Pengajaran
AC di ruang kelas sering rusak.,Fasilitas Kampus
Prodi tidak merespon keluhan mahasiswa dengan baik.,Prodi
Proses administrasi sering kali tertunda.,Tata Usaha/Pelayanan Administrasi
Tidak ada layanan bantuan untuk SIMAK.,SIMAK
